ID	experiment	zoo	clutch	euthanised	days_survived	infection_status	slope_bd	bd_std.error	age_start	age_death	wt_start	wt_death	svl_start	svl_death	bc_start	bc_death	bc_change
Psco_559	2	TZ	50	1	77	1	0.557449874	0.185029899	172	249	0.563	0.434	20.09	17.93	-0.19	-0.29	-0.1
Psco_655	2	MZ	32	1	71	1	0.448117368	0.157652329	199	270	1.244	0.903	25.03	22.3	0.07	-0.03	-0.1
Psco_567	2	TZ	42	1	48	1	0.517454163	0.074945967	185	233	0.616	0.379	20.79	18.36	-0.16	-0.33	-0.17
Psco_663	2	TZ	50	1	65	1	0.346343332	0.126118484	172	237	0.483	0.339	18.8	17.1	-0.25	-0.38	-0.13
Psco_575	2	MZ	38	0	98	0	0	0	200	298	1.117	1.022	23.1	24.35	0.04	0.01	-0.03
Psco_671	2	TZ	52	1	74	1	0.461226424	0.110937663	164	238	0.546	0.446	19.74	18.64	-0.2	-0.28	-0.07
Psco_583	2	TZ	48	0	98	0	0	0	173	271	0.549	0.797	20.17	20.35	-0.2	-0.08	0.12
Psco_679	2	MZ	21	0	98	0	0	0	218	316	1.16	1.081	24.79	24.85	0.05	0.02	-0.02
Psco_591	2	MZ	21	1	67	1	0.528032811	0.051183959	218	285	0.958	0.609	21.58	21.32	-0.01	-0.16	-0.15
Psco_687	2	MZ	31	0	98	0	0	0	199	297	1.003	1.21	23.78	24.2	0	0.06	0.06
Psco_695	2	TZ	50	1	80	1	0.227657276	0.075349791	172	252	0.427	0.369	18.23	17.47	-0.29	-0.35	-0.06
Psco_804	3	MZ	35	0	98	0	0	0	304	402	0.955	0.628	24.17	21.66	-0.01	-0.15	-0.14
Psco_703	2	MZ	38	1	65	1	0.470928871	0.115536424	200	265	1.185	0.859	24.05	23.92	0.05	-0.05	-0.1
Psco_812	3	MZ	37	1	64	1	0.549768429	0.044470463	315	379	1.173	1.028	26.22	25.51	0.05	0.01	-0.04
Psco_711	2	TZ	44	1	63	1	0.269029322	0.173711482	173	236	0.735	0.515	21.52	19.12	-0.1	-0.22	-0.12
Psco_820	3	MZ	35	1	65	1	0.639021797	0.159447288	304	369	0.955	0.561	25.21	18.96	-0.01	-0.2	-0.18
Psco_719	2	MZ	23	1	49	1	0.945675762	0.237013042	189	238	1.246	0.751	26.08	22.63	0.07	-0.09	-0.16
Psco_828	3	MZ	31	1	63	1	0.641727125	0.226274877	314	377	1.077	0.76	24.21	23.65	0.02	-0.09	-0.11
Psco_727	2	TZ	54	0	98	0	0	0	170	268	0.412	0.648	18.8	18.31	-0.3	-0.15	0.15
Psco_836	3	MZ	22	0	98	0	0	0	288	386	1.21	0.955	27.11	24.26	0.06	-0.01	-0.07
Psco_748	3	MZ	31	1	63	1	0.388245179	0.175275231	314	377	0.987	0.681	24.11	22.58	0	-0.12	-0.12
Psco_756	3	MZ	22	0	98	1	0.26424294	0.059481852	288	386	1.19	0.852	25.33	23.11	0.05	-0.05	-0.1
Psco_852	3	MZ	36	1	63	1	0.571016516	0.164764343	307	370	1.519	1.209	27.39	26.51	0.13	0.06	-0.07
Psco_860	3	MZ	24	0	98	0	0	0	354	452	1.369	0.958	26.69	23.93	0.1	-0.01	-0.11
Psco_772	3	MZ	29	1	69	1	0.35794567	0.105590482	317	386	1.239	1.208	25.8	25.75	0.07	0.06	-0.01
Psco_868	3	MZ	24	1	80	1	0.466576109	0.064553499	354	434	1.319	1.028	26.65	25.64	0.08	0.01	-0.08
Psco_780	3	MZ	38	0	98	1	-0.018933002	0.043296851	315	413	1.194	0.816	26.46	22.52	0.05	-0.07	-0.12
Psco_876	3	MZ	27	0	98	0	0	0	323	421	1.059	0.661	24.82	21.38	0.02	-0.14	-0.15
Psco_788	3	MZ	28	1	57	1	0.635938933	0.085940682	357	414	1.296	0.988	26.51	25.17	0.08	0	-0.08
Psco_884	3	MZ	38	0	98	0	0	0	315	413	1.296	0.839	27.7	24.08	0.08	-0.06	-0.13
Psco_796	3	MZ	33	0	98	0	0	0	304	402	1.039	0.71	24.88	22.57	0.01	-0.11	-0.12
Psco_892	3	MZ	31	0	98	1	0.435845034	0.043047914	314	412	1.175	0.83	25.29	23.13	0.05	-0.06	-0.11
